Date,Precipitation,Specific_Humidity,Surface Pressure,Surface_Temperature,Clearness_Index,Radiative_Flux,Radiation
5-3-1986,0.0,0.00495,98.73,20.85,0.69,7.35,5.79
6-3-1986,0.0,0.005208,98.72,21.15,0.73,8.2,6.2
7-3-1986,0.0,0.00558,98.67,22.32,0.76,7.43,6.52
8-3-1986,0.0,0.005023,98.67,22.03,0.72,7.94,6.24
9-3-1986,0.0,0.006343,98.64,23.74,0.75,8.39,6.54
10-3-1986,0.0,0.007117,98.46,26.18,0.57,9.6,4.98
11-3-1986,0.0,0.007587000000000001,98.36,25.88,0.72,8.41,6.31
12-3-1986,0.09,0.007259000000000001,98.36,24.65,0.58,8.05,5.15
13-3-1986,1.03,0.006628,98.45,24.22,0.58,8.7,5.18
14-3-1986,0.61,0.006792,98.2,24.55,0.64,7.94,5.7
15-3-1986,0.0,0.005409000000000001,98.22,21.7,0.78,7.21,6.98
16-3-1986,1.75,0.004678,98.41,19.75,0.77,8.37,6.99
17-3-1986,0.0,0.004784,98.45,19.53,0.33,9.6,2.96
18-3-1986,1.33,0.008009,98.25,21.04,0.57,9.33,5.16
19-3-1986,0.9,0.005468,98.31,20.44,0.74,8.59,6.81
20-3-1986,1.94,0.00402,98.49,18.75,0.8,6.66,7.39
21-3-1986,0.03,0.004176,98.51,20.29,0.54,9.21,4.97
22-3-1986,0.05,0.007364,98.41,21.26,0.54,8.72,5.03
23-3-1986,0.06,0.006639,98.4,22.99,0.57,8.7,5.35
24-3-1986,1.31,0.005815,98.56,22.14,0.69,7.26,6.48
25-3-1986,0.0,0.004469,98.73,20.69,0.64,8.0,6.07
26-3-1986,0.0,0.004657,98.86,23.02,0.77,8.07,7.34
27-3-1986,0.0,0.005569,98.64,25.82,0.76,8.08,7.28
28-3-1986,0.0,0.005942,98.3,27.11,0.64,8.44,6.12
29-3-1986,0.0,0.005822,98.14,27.16,0.72,8.87,6.96
30-3-1986,0.0,0.005628,98.14,27.67,0.35,10.26,3.39
31-3-1986,0.0,0.00499,98.13,25.98,0.56,8.71,5.43
1-4-1986,2.09,0.005121,98.25,25.58,0.54,9.3,5.27
2-4-1986,0.0,0.00415,98.21,26.57,0.54,9.35,5.26
3-4-1986,0.0,0.0038950000000000005,98.36,25.36,0.71,7.97,7.0
4-4-1986,0.64,0.003949,98.61,24.6,0.76,8.19,7.5
5-4-1986,0.0,0.003512,98.62,24.39,0.76,7.46,7.58
6-4-1986,0.0,0.003486,98.4,26.31,0.75,7.65,7.49
7-4-1986,0.0,0.004619,98.2,28.35,0.73,8.36,7.37
8-4-1986,0.0,0.005725,98.07,29.97,0.51,8.32,5.11
9-4-1986,0.0,0.0064540000000000005,98.0,31.91,0.42,9.5,4.2
10-4-1986,0.0,0.007035,98.15,32.68,0.5,10.45,5.03
11-4-1986,0.0,0.008122,98.28,31.91,0.51,9.52,5.18
12-4-1986,0.07,0.008095,98.18,33.18,0.5,9.75,5.13
13-4-1986,0.33,0.008239,98.04,33.31,0.6,9.18,6.17
14-4-1986,0.13,0.006987,98.26,33.37,0.67,8.75,6.88
15-4-1986,0.0,0.006399,98.27,31.37,0.72,8.92,7.42
16-4-1986,0.0,0.005425999999999999,98.01,31.95,0.63,9.95,6.59
17-4-1986,0.0,0.0042829999999999995,97.7,31.24,0.77,7.94,7.97
18-4-1986,0.0,0.00292,97.71,31.13,0.54,8.53,5.62
19-4-1986,0.0,0.003668,97.93,32.22,0.53,8.3,5.58
20-4-1986,0.0,0.0036799999999999997,97.89,32.49,0.51,8.41,5.39
21-4-1986,0.0,0.00375,97.86,33.9,0.52,8.53,5.43
22-4-1986,0.0,0.003351,97.97,34.76,0.58,8.51,6.13
23-4-1986,0.0,0.0034840000000000006,97.71,35.1,0.58,10.1,6.2
24-4-1986,0.0,0.003913000000000001,97.4,32.6,0.74,10.37,7.86
25-4-1986,0.0,0.0052049999999999996,97.51,34.25,0.56,10.82,6.01
26-4-1986,0.0,0.004893,97.7,34.39,0.63,11.03,6.75
27-4-1986,3.3,0.005429,97.74,32.45,0.54,10.98,5.75
28-4-1986,0.21,0.005672,97.85,31.76,0.73,8.49,7.87
29-4-1986,0.05,0.0042380000000000004,97.93,31.0,0.53,8.64,5.76
30-4-1986,0.0,0.0044009999999999995,98.07,32.53,0.54,8.37,5.81
1-5-1986,0.0,0.004951,97.95,34.36,0.55,11.07,5.92
2-5-1986,0.0,0.0054009999999999996,97.89,35.87,0.72,9.14,7.82
3-5-1986,0.02,0.0048649999999999995,97.94,35.27,0.54,8.97,5.88
4-5-1986,0.01,0.004705,97.91,33.07,0.53,9.84,5.79
5-5-1986,0.04,0.003887,97.69,33.86,0.54,8.65,5.86
6-5-1986,0.0,0.003149,97.58,35.64,0.53,8.74,5.83
7-5-1986,0.0,0.00317,97.65,35.61,0.52,9.23,5.7
8-5-1986,0.0,0.005995,97.84,36.19,0.59,10.92,6.43
9-5-1986,0.37,0.006537,97.74,37.26,0.6,10.76,6.63
10-5-1986,0.75,0.005215999999999999,97.57,36.64,0.61,10.84,6.76
11-5-1986,0.47,0.005723,97.54,36.57,0.6,9.11,6.66
12-5-1986,0.03,0.0052,97.56,37.48,0.71,8.9,7.85
13-5-1986,0.0,0.005807,97.6,38.3,0.55,9.34,6.11
14-5-1986,0.1,0.005457,97.55,38.53,0.53,10.07,5.86
15-5-1986,0.53,0.004567,97.32,38.78,0.55,9.6,6.09
16-5-1986,0.02,0.005025,97.35,38.7,0.5,11.25,5.53
17-5-1986,0.6,0.006025,97.35,37.66,0.51,9.21,5.66
18-5-1986,0.46,0.004368,97.08,37.63,0.54,10.53,6.08
19-5-1986,0.23,0.006279,97.02,36.6,0.59,10.63,6.6
20-5-1986,1.56,0.006802,97.36,35.47,0.56,9.21,6.29
21-5-1986,0.12,0.003367,97.78,32.08,0.53,8.61,5.92
22-5-1986,0.24,0.002954,98.14,31.83,0.73,8.04,8.15
23-5-1986,0.0,0.00349,98.04,32.83,0.55,7.93,6.16
24-5-1986,0.0,0.002636,97.72,33.53,0.54,8.26,6.13
25-5-1986,0.0,0.002594,97.55,35.24,0.52,9.46,5.88
26-5-1986,0.0,0.004412,97.44,37.39,0.16,9.75,1.76
27-5-1986,13.23,0.011405,97.77,33.7,0.57,9.86,6.39
28-5-1986,0.0,0.010454999999999999,98.04,34.58,0.33,9.46,3.68
29-5-1986,0.02,0.009723,97.97,35.25,0.57,9.97,6.39
30-5-1986,0.21,0.007208,97.85,35.15,0.65,10.31,7.34
31-5-1986,0.32,0.007992,97.97,36.12,0.47,10.56,5.34
1-6-1986,1.14,0.006868000000000001,98.1,34.37,0.53,8.56,6.02
2-6-1986,1.32,0.007166,97.96,33.61,0.46,9.32,5.25
3-6-1986,0.0,0.007287999999999999,97.59,35.1,0.63,9.54,7.2
4-6-1986,0.01,0.007078,97.54,36.42,0.52,10.43,5.95
5-6-1986,0.09,0.00628,97.62,36.37,0.52,9.54,5.91
6-6-1986,0.71,0.006038,97.49,36.19,0.52,10.25,5.87
7-6-1986,0.01,0.006775,97.45,37.74,0.53,9.43,5.98
8-6-1986,0.0,0.005006,97.52,37.8,0.52,9.56,5.94
9-6-1986,0.0,0.0041979999999999995,97.36,37.69,0.55,8.86,6.21
10-6-1986,0.0,0.004784,97.07,39.71,0.61,9.19,6.92
11-6-1986,0.0,0.006106,97.2,39.57,0.65,11.49,7.36
12-6-1986,0.0,0.008591,97.2,39.66,0.55,12.12,6.21
13-6-1986,0.0,0.009173,97.04,41.1,0.5,11.38,5.69
14-6-1986,0.0,0.008795,97.05,41.64,0.3,10.62,3.39
15-6-1986,0.83,0.00745,97.0,41.29,0.5,10.45,5.7
16-6-1986,0.0,0.008153,96.95,42.29,0.51,10.4,5.82
17-6-1986,0.11,0.011518,97.04,42.81,0.59,10.38,6.7
18-6-1986,0.03,0.012844,96.88,43.24,0.64,10.37,7.32
19-6-1986,0.0,0.01034,96.66,44.89,0.68,10.73,7.79
20-6-1986,0.07,0.009733,96.67,44.06,0.45,11.0,5.08
21-6-1986,0.17,0.013052000000000001,96.9,42.48,0.61,10.86,6.96
22-6-1986,0.08,0.014037,97.07,43.09,0.4,11.1,4.57
23-6-1986,0.25,0.014197,96.96,44.32,0.46,10.91,5.28
24-6-1986,6.75,0.016023,96.8,41.17,0.44,10.81,5.02
25-6-1986,5.71,0.017731,96.94,37.55,0.34,10.58,3.9
26-6-1986,4.18,0.018328,96.89,36.61,0.41,10.54,4.67
27-6-1986,4.9,0.017613999999999998,97.0,35.57,0.49,10.69,5.61
28-6-1986,1.89,0.016738,96.92,34.94,0.39,10.41,4.38
29-6-1986,6.44,0.016731,97.07,32.93,0.65,10.52,7.37
30-6-1986,5.58,0.016390000000000002,97.33,33.91,0.58,10.69,6.63
1-7-1986,3.09,0.014916999999999998,97.56,35.0,0.57,10.6,6.44
2-7-1986,0.43,0.013994999999999999,97.65,35.85,0.38,10.02,4.33
3-7-1986,0.93,0.013133,97.59,35.7,0.46,9.96,5.25
4-7-1986,0.0,0.012084000000000001,97.28,36.52,0.47,10.66,5.29
5-7-1986,0.0,0.013869999999999999,97.15,37.19,0.48,10.68,5.47
6-7-1986,0.01,0.014129,97.15,37.84,0.54,10.8,6.11
7-7-1986,2.78,0.014053999999999999,97.17,38.35,0.43,10.63,4.91
8-7-1986,2.05,0.016063,97.41,36.83,0.48,10.68,5.38
9-7-1986,10.34,0.01645,97.42,32.9,0.25,10.65,2.84
10-7-1986,5.49,0.016153,97.24,34.5,0.38,10.49,4.29
11-7-1986,3.94,0.015864,97.29,34.88,0.43,10.52,4.89
12-7-1986,1.71,0.015036,97.39,36.3,0.49,10.1,5.49
13-7-1986,0.84,0.015066999999999999,97.3,37.12,0.51,10.4,5.73
14-7-1986,0.44,0.016397,97.26,37.5,0.08,10.62,0.95
15-7-1986,0.09,0.017490000000000002,97.26,37.5,0.49,10.54,5.55
16-7-1986,0.11,0.017471,97.19,35.61,0.52,10.7,5.85
17-7-1986,0.05,0.017157,97.0,37.97,0.46,10.83,5.13
18-7-1986,0.6,0.018691,97.03,33.96,0.5,10.8,5.61
19-7-1986,2.56,0.017687,97.3,32.69,0.49,10.39,5.48
20-7-1986,0.08,0.016302,97.4,33.96,0.4,10.4,4.51
21-7-1986,1.34,0.017357,97.34,33.59,0.47,10.54,5.28
22-7-1986,2.41,0.017408,97.28,33.3,0.21,10.26,2.38
23-7-1986,1.39,0.016941,97.3,34.25,0.42,10.68,4.7
24-7-1986,1.77,0.017551,97.29,34.49,0.48,10.47,5.34
25-7-1986,1.77,0.018543,97.27,33.36,0.52,10.64,5.77
26-7-1986,2.91,0.017279,97.46,31.77,0.5,10.75,5.55
27-7-1986,2.77,0.017165,97.65,30.32,0.36,10.51,4.01
28-7-1986,3.98,0.016907,97.71,31.14,0.41,10.29,4.53
29-7-1986,4.6,0.016262000000000002,97.75,31.89,0.29,10.32,3.22
30-7-1986,2.55,0.017058,97.77,34.04,0.43,10.3,4.69
31-7-1986,0.19,0.016807,97.89,33.13,0.24,10.46,2.65
1-8-1986,12.28,0.018082,97.86,29.54,0.21,10.54,2.34
2-8-1986,5.96,0.017378,97.64,31.88,0.45,10.42,4.94
3-8-1986,0.29,0.016155000000000003,97.42,33.79,0.38,11.03,4.16
4-8-1986,1.0,0.015954,97.45,33.64,0.53,10.81,5.81
5-8-1986,0.38,0.016721,97.43,35.19,0.5,10.41,5.42
6-8-1986,0.75,0.01652,97.47,35.9,0.57,10.38,6.15
7-8-1986,0.16,0.015952,97.58,34.21,0.58,10.64,6.28
8-8-1986,1.28,0.016416,97.55,34.28,0.45,10.6,4.91
9-8-1986,0.59,0.016824000000000002,97.54,34.7,0.51,10.32,5.49
10-8-1986,0.17,0.016857,97.53,35.29,0.48,10.25,5.15
11-8-1986,0.01,0.016630000000000002,97.46,37.05,0.61,10.54,6.53
12-8-1986,0.01,0.015989,97.31,36.59,0.28,10.61,3.02
13-8-1986,1.73,0.017943,97.48,32.49,0.51,10.68,5.45
14-8-1986,40.73,0.018581,97.54,30.09,0.37,10.69,3.96
15-8-1986,0.0,0.01754,97.56,33.72,0.57,10.93,6.08
16-8-1986,0.04,0.017719,97.54,35.05,0.42,10.74,4.4
17-8-1986,23.73,0.018366999999999998,97.45,32.91,0.48,10.73,5.08
18-8-1986,3.69,0.018029,97.5,32.1,0.38,10.48,4.04
19-8-1986,0.65,0.018053,97.71,30.64,0.46,10.68,4.84
20-8-1986,17.73,0.018465000000000002,97.68,30.9,0.33,10.41,3.42
21-8-1986,10.65,0.018491999999999998,97.54,30.62,0.56,10.39,5.87
22-8-1986,0.85,0.017248,97.44,31.99,0.64,9.93,6.68
23-8-1986,0.18,0.016344,97.58,32.88,0.56,9.6,5.84
24-8-1986,0.02,0.014381,97.7,32.73,0.72,9.63,7.47
25-8-1986,0.0,0.012825999999999999,97.61,32.12,0.75,9.37,7.73
26-8-1986,0.0,0.012822,97.55,31.93,0.69,9.84,7.04
27-8-1986,0.0,0.013219999999999999,97.55,32.22,0.67,10.03,6.84
28-8-1986,0.0,0.013043,97.67,32.86,0.63,9.97,6.46
29-8-1986,0.01,0.012927000000000001,97.83,32.89,0.66,9.98,6.71
30-8-1986,0.05,0.011718000000000001,97.7,32.53,0.74,9.31,7.46
31-8-1986,0.91,0.011769,97.66,31.84,0.73,9.41,7.38
1-9-1986,0.0,0.011290000000000001,97.87,32.18,0.69,9.96,6.95
2-9-1986,0.0,0.010798,97.82,32.48,0.7,9.58,7.0
3-9-1986,0.0,0.010806,97.58,32.07,0.7,9.7,6.96
4-9-1986,0.0,0.010794,97.52,32.46,0.67,9.49,6.67
5-9-1986,0.0,0.010206,97.63,32.31,0.56,9.36,5.56
6-9-1986,0.0,0.009727,97.67,32.06,0.54,9.35,5.32
7-9-1986,0.0,0.00935,97.54,31.9,0.55,9.32,5.43
8-9-1986,0.0,0.008592,97.49,31.86,0.59,9.5,5.77
9-9-1986,0.0,0.009437000000000001,97.57,32.24,0.67,10.11,6.57
10-9-1986,0.0,0.010009,97.72,33.05,0.57,10.5,5.53
11-9-1986,0.02,0.010621,97.83,33.56,0.64,10.19,6.18
12-9-1986,0.56,0.014776,97.99,33.07,0.65,9.95,6.23
13-9-1986,0.76,0.014509000000000001,97.99,32.15,0.6,10.23,5.77
14-9-1986,0.1,0.012297,97.98,32.07,0.3,10.35,2.88
15-9-1986,0.01,0.010564,98.15,31.61,0.48,9.97,4.52
16-9-1986,0.08,0.009292,98.25,30.98,0.52,8.81,4.91
17-9-1986,0.47,0.008439,98.21,30.59,0.56,9.39,5.28
18-9-1986,0.0,0.007188,98.12,30.84,0.65,9.06,6.05
19-9-1986,0.0,0.007047,98.11,31.74,0.7,9.06,6.53
20-9-1986,0.0,0.008013,98.11,32.07,0.69,10.24,6.39
21-9-1986,0.0,0.008801999999999999,98.2,33.01,0.54,10.67,4.93
22-9-1986,0.0,0.010140999999999999,98.41,33.1,0.34,9.98,3.07
23-9-1986,30.11,0.013151,98.45,29.96,0.39,10.51,3.53
24-9-1986,8.94,0.013543000000000001,98.36,29.03,0.31,10.34,2.83
25-9-1986,0.06,0.013978999999999998,98.28,29.92,0.35,9.59,3.14
26-9-1986,2.89,0.013672,98.3,29.79,0.4,10.07,3.54
27-9-1986,12.8,0.015134,98.47,27.57,0.41,9.94,3.66
28-9-1986,7.99,0.015091,98.53,27.27,0.59,9.98,5.27
29-9-1986,5.01,0.0138,98.32,27.44,0.58,9.83,5.09
30-9-1986,0.89,0.012289,98.24,28.33,0.56,9.87,4.91
1-10-1986,0.01,0.011347,98.35,28.33,0.56,9.61,4.88
2-10-1986,0.0,0.010539,98.47,28.65,0.51,9.41,4.43
3-10-1986,0.0,0.010296,98.56,29.05,0.57,9.14,4.88
4-10-1986,0.0,0.009998,98.56,29.01,0.55,9.0,4.72
5-10-1986,0.34,0.010793,98.52,29.29,0.48,9.45,4.11
6-10-1986,0.77,0.010359,98.38,29.25,0.6,9.07,5.1
7-10-1986,0.74,0.009798000000000001,98.18,28.8,0.7,9.3,5.87
8-10-1986,0.0,0.009715999999999999,97.94,28.95,0.7,9.23,5.83
9-10-1986,0.01,0.009578,97.94,28.32,0.71,8.9,5.94
10-10-1986,0.0,0.009448,98.16,28.21,0.63,9.01,5.19
11-10-1986,0.08,0.009378000000000001,98.27,28.6,0.55,10.26,4.53
12-10-1986,0.06,0.00993,98.52,27.99,0.46,9.18,3.74
13-10-1986,0.0,0.009111,98.57,28.01,0.26,8.94,2.08
14-10-1986,0.0,0.008081999999999999,98.34,27.85,0.56,8.5,4.54
15-10-1986,0.0,0.008292,98.01,28.13,0.47,9.11,3.74
16-10-1986,0.69,0.008712000000000001,98.13,26.51,0.72,8.6,5.69
17-10-1986,0.17,0.00843,98.42,26.06,0.58,9.19,4.56
18-10-1986,2.29,0.007628,98.71,24.62,0.71,8.54,5.53
19-10-1986,0.02,0.007129000000000001,98.95,24.99,0.63,8.75,4.92
20-10-1986,0.0,0.005528,99.02,23.14,0.7,7.73,5.39
21-10-1986,0.0,0.005084,98.84,22.11,0.56,7.54,4.3
22-10-1986,0.0,0.00448,98.83,21.93,0.67,7.42,5.12
23-10-1986,0.0,0.004173,98.77,21.64,0.57,7.56,4.29
24-10-1986,0.0,0.004101,98.72,21.98,0.57,7.72,4.29
25-10-1986,0.0,0.0041659999999999996,98.92,21.74,0.6,7.52,4.52
26-10-1986,0.0,0.004633,98.83,21.63,0.72,7.43,5.35
27-10-1986,0.0,0.0043170000000000005,98.6,22.16,0.74,7.53,5.44
28-10-1986,0.0,0.004345,98.52,22.65,0.66,7.78,4.81
29-10-1986,0.0,0.004529,98.71,22.82,0.5,7.83,3.67
30-10-1986,0.0,0.004546,98.84,22.97,0.6,7.76,4.35
31-10-1986,0.0,0.004776,98.7,23.14,0.7,7.67,5.02
1-11-1986,0.0,0.004658,98.67,23.17,0.58,7.7,4.1
2-11-1986,0.0,0.0045130000000000005,98.65,22.77,0.6,7.75,4.26
3-11-1986,0.0,0.004203,98.67,22.23,0.67,7.66,4.71
4-11-1986,0.0,0.003747,98.72,21.62,0.74,7.56,5.19
5-11-1986,0.0,0.0035399999999999997,98.65,21.18,0.75,7.56,5.19
6-11-1986,0.0,0.003251,98.6,20.53,0.63,7.64,4.36
7-11-1986,0.0,0.003251,98.63,20.91,0.62,8.59,4.22
8-11-1986,0.0,0.003237,98.6,20.57,0.51,7.63,3.45
9-11-1986,0.0,0.003081,98.52,20.48,0.7,7.71,4.74
10-11-1986,0.0,0.002848,98.4,21.26,0.54,7.62,3.63
11-11-1986,0.0,0.003276,98.45,22.0,0.58,7.46,3.9
12-11-1986,0.0,0.0034460000000000003,98.5,22.08,0.61,7.57,4.06
13-11-1986,0.0,0.0036509999999999997,98.66,22.0,0.69,7.63,4.57
14-11-1986,0.0,0.004037,98.87,22.55,0.74,7.89,4.84
15-11-1986,0.0,0.004017,98.81,22.72,0.73,8.11,4.78
16-11-1986,0.0,0.00445,98.65,23.18,0.55,8.63,3.57
17-11-1986,0.05,0.003942,98.79,21.25,0.55,7.41,3.52
18-11-1986,0.0,0.002656,98.99,19.05,0.51,6.94,3.29
19-11-1986,0.0,0.001755,99.19,17.9,0.7,7.05,4.46
20-11-1986,0.0,0.0015689999999999999,99.0,17.85,0.54,7.76,3.42
21-11-1986,0.0,0.001778,99.03,18.67,0.53,8.79,3.35
22-11-1986,0.0,0.002365,99.02,19.62,0.7,7.16,4.39
23-11-1986,0.0,0.002659,98.97,20.23,0.73,7.67,4.51
24-11-1986,0.0,0.0025050000000000003,98.99,20.0,0.68,9.48,4.21
25-11-1986,0.0,0.0025989999999999997,99.08,19.4,0.4,8.75,2.49
26-11-1986,0.0,0.002933,99.18,19.16,0.45,9.2,2.77
27-11-1986,0.01,0.0034700000000000004,99.18,18.65,0.46,8.05,2.81
28-11-1986,0.0,0.003667,99.21,18.19,0.71,7.6,4.32
29-11-1986,0.0,0.003646,99.17,18.87,0.48,8.03,2.91
30-11-1986,0.0,0.003118,99.44,17.06,0.6,7.82,3.59
1-12-1986,0.1,0.0037170000000000003,99.37,16.73,0.62,7.21,3.73
2-12-1986,0.0,0.0031550000000000003,99.41,17.43,0.62,7.05,3.7
3-12-1986,0.0,0.0035060000000000004,99.35,17.6,0.73,6.93,4.31
4-12-1986,0.0,0.003329,99.11,17.99,0.66,7.71,3.89
5-12-1986,0.0,0.002876,98.92,17.14,0.62,7.07,3.67
6-12-1986,0.0,0.002582,99.11,16.7,0.52,8.22,3.05
7-12-1986,0.0,0.0030280000000000003,99.27,17.58,0.55,8.19,3.22
8-12-1986,0.0,0.003176,99.18,17.37,0.25,8.22,1.45
9-12-1986,0.0,0.002875,99.02,17.72,0.59,7.61,3.41
10-12-1986,0.0,0.003346,99.01,17.42,0.62,7.38,3.58
11-12-1986,0.0,0.003796,98.74,18.69,0.74,7.51,4.29
12-12-1986,0.08,0.0050149999999999995,98.46,18.2,0.48,7.78,2.77
13-12-1986,2.51,0.005104,98.53,17.9,0.57,8.0,3.29
14-12-1986,3.74,0.002316,99.12,12.29,0.56,7.95,3.24
15-12-1986,2.38,0.002298,99.25,9.99,0.66,7.75,3.8
16-12-1986,0.0,0.002547,99.27,10.01,0.52,6.81,2.98
17-12-1986,0.0,0.002872,99.21,11.24,0.68,7.1,3.93
18-12-1986,0.0,0.00391,99.22,12.47,0.55,6.97,3.17
19-12-1986,0.0,0.0032770000000000004,99.65,11.14,0.64,6.8,3.66
20-12-1986,0.0,0.002576,99.61,9.92,0.7,7.1,4.02
21-12-1986,0.0,0.002784,99.55,9.96,0.61,7.32,3.49
22-12-1986,0.0,0.002892,99.37,11.1,0.69,6.38,3.93
23-12-1986,0.0,0.002907,99.26,11.26,0.63,6.2,3.59
24-12-1986,0.0,0.002803,99.27,11.38,0.45,6.32,2.56
25-12-1986,0.0,0.003013,99.43,11.98,0.54,6.39,3.11
26-12-1986,0.0,0.002841,99.42,11.91,0.69,6.31,3.95
27-12-1986,0.0,0.002656,99.6,13.1,0.58,6.54,3.32
28-12-1986,0.0,0.002367,99.56,12.24,0.63,6.45,3.62
29-12-1986,0.0,0.002236,99.16,12.32,0.72,6.62,4.17
30-12-1986,0.0,0.0021920000000000004,99.05,11.27,0.56,6.36,3.25
31-12-1986,0.0,0.0024,99.31,11.79,0.7,6.91,4.08
1-1-1987,0.0,0.0020670000000000003,99.03,12.34,0.66,6.74,3.82
2-1-1987,0.0,0.002286,98.97,12.43,0.73,6.46,4.26
3-1-1987,0.0,0.002709,99.13,13.81,0.61,7.87,3.58
4-1-1987,0.0,0.002643,99.26,15.3,0.56,7.08,3.27
5-1-1987,0.0,0.002986,99.04,16.03,0.6,7.61,3.52
6-1-1987,0.62,0.0036479999999999998,99.11,15.03,0.67,7.37,3.92
7-1-1987,0.14,0.003786,99.36,15.65,0.66,7.42,3.89
8-1-1987,0.07,0.0037159999999999997,99.18,16.57,0.65,7.61,3.88
9-1-1987,0.01,0.003564,99.07,16.53,0.52,8.02,3.07
